ItemID,BuyPrice,SellPrice,TraderStock,RefreshInterval
WPN_Rifle_AK47,25000,12000,3,7200
WPN_Pistol_Glock,8500,4000,5,3600
AMO_762_Standard,80,40,500,1800
AMO_9mm_Standard,35,18,800,1800
MED_Bandage,200,80,50,1800
MED_FirstAidKit,1500,600,20,3600
MED_Painkiller,500,200,30,3600
CNT_Backpack_Small,5000,2000,10,86400
CNT_Backpack_Large,15000,6000,5,86400
CNT_TacticalVest,8000,3200,8,86400
KEY_Dorm_Room203,2000,500,1,86400
KEY_Factory_Office,5000,1000,1,86400
MISC_WaterBottle,150,50,100,1800
MISC_EnergyDrink,300,120,60,3600
MISC_GoldChain,12000,12000,0,0
